metode;size;bit;pca ;tipe kernel;c;acc
bsif;9x9;8;1;linear;10;94,635
bsif;9x9;8;1;linear;1;94,635
bsif;7x7;5;0,4;linear;100;94,635
bsif;13x13;9;0,2;linear;100;94,583
bsif;13x13;9;0,2;linear;10;94,583
bsif;9x9;7;0,6;linear;100;94,583
bsif;7x7;5;0,4;linear;10;94,583
bsif;9x9;12;0,6;linear;100;94,531
bsif;9x9;7;0,6;linear;10;94,531
bsif;13x13;5;0,4;linear;1;94,479
bsif;9x9;7;0,6;linear;1;94,479
bsif;7x7;5;0,4;linear;1;94,479
bsif;5x5;8;0,4;linear;100;94,427
bsif;5x5;10;1;linear;100;94,375
bsif;5x5;10;1;linear;10;94,375
bsif;5x5;10;1;linear;1;94,375
bsif;5x5;8;0,4;linear;10;94,375
bsif;5x5;10;0,8;linear;100;94,271
bsif;5x5;10;0,8;linear;10;94,271
bsif;5x5;10;0,8;linear;1;94,271
bsif;15x15;5;0,2;linear;10;94,219
bsif;9x9;12;0,4;linear;100;94,219
bsif;15x15;5;0,2;linear;100;94,219
bsif;9x9;12;0,4;linear;10;94,167
bsif;9x9;12;0,4;linear;1;94,115
bsif;7x7;10;0,8;linear;100;94,115
bsif;7x7;10;0,8;linear;10;94,115
bsif;7x7;10;0,8;linear;1;94,115
bsif;13x13;5;0,4;linear;10;94,063
bsif;5x5;9;0,2;linear;1;94,063
bsif;5x5;8;0,4;linear;1;94,062
bsif;5x5;10;0,6;linear;10;94,01
bsif;5x5;10;0,6;linear;100;94,01
bsif;9x9;5;1;linear;100;94,01
bsif;9x9;5;1;linear;10;94,01
bsif;7x7;10;0,6;linear;1;93,958
bsif;5x5;10;0,6;linear;1;93,906
bsif;11x11;6;0,8;linear;100;93,906
bsif;11x11;6;0,8;linear;10;93,906
bsif;11x11;6;0,8;linear;1;93,906
bsif;7x7;10;1;linear;100;93,906
bsif;7x7;10;1;linear;10;93,906
bsif;7x7;10;1;linear;1;93,906
bsif;9x9;8;0,6;linear;100;93,906
bsif;9x9;8;0,6;linear;1;93,906
bsif;7x7;10;0,6;linear;10;93,854
bsif;5x5;9;0,2;linear;100;93,802
bsif;7x7;10;0,6;linear;100;93,802
bsif;9x9;5;0,8;linear;100;93,802
bsif;9x9;5;0,8;linear;10;93,802
bsif;9x9;8;0,6;linear;10;93,802
bsif;9x9;5;1;linear;1;93,802
bsif;11x11;10;0,2;linear;10;93,802
bsif;11x11;10;0,2;linear;100;93,802
bsif;9x9;5;0,6;linear;1;93,75
bsif;11x11;10;0,2;linear;1;93,75
bsif;5x5;9;0,2;linear;10;93,698
bsif;11x11;6;1;linear;100;93,698
