metode;size;bit;pca;tipe kernel;c;acc
bsif+mtcd;13x13;10;0,2;rbf;100;99,792
bsif+mtcd;13x13;10;0,2;rbf;10;99,792
bsif+mtcd;17x17;6;-;rbf;100;99,792
bsif+mtcd;17x17;6;0,8;rbf;100;99,792
bsif+mtcd;17x17;6;0,6;rbf;100;99,792
bsif+mtcd;17x17;6;0,4;rbf;100;99,792
bsif+mtcd;17x17;6;-;rbf;10;99,792
bsif+mtcd;17x17;6;0,8;rbf;10;99,792
bsif+mtcd;17x17;6;0,6;rbf;10;99,792
bsif+mtcd;17x17;6;0,4;rbf;10;99,792
bsif+mtcd;17x17;6;-;rbf;1;99,792
bsif+mtcd;17x17;6;0,8;rbf;1;99,792
bsif+mtcd;17x17;6;0,6;rbf;1;99,792
bsif+mtcd;15x15;10;0,2;linear;100;99,792
bsif+mtcd;15x15;10;0,2;linear;10;99,792
bsif+mtcd;13x13;9;0,4;rbf;100;99,792
bsif+mtcd;13x13;9;0,6;rbf;10;99,792
bsif+mtcd;13x13;9;0,4;rbf;10;99,792
bsif+mtcd;13x13;8;0,4;linear;10;99,792
bsif+mtcd;13x13;8;0,4;linear;1;99,792
bsif+mtcd;11x11;5;0,4;linear;100;99,792
bsif+mtcd;11x11;5;0,4;linear;10;99,792
bsif+mtcd;11x11;5;0,4;linear;1;99,792
bsif+mtcd;9x9;12;-;linear;100;99,792
bsif+mtcd;9x9;12;0,8;linear;100;99,792
bsif+mtcd;9x9;12;0,6;linear;100;99,792
bsif+mtcd;9x9;12;-;linear;10;99,792
bsif+mtcd;9x9;12;0,8;linear;10;99,792
bsif+mtcd;9x9;12;0,6;linear;10;99,792
bsif+mtcd;9x9;12;-;linear;1;99,792
bsif+mtcd;9x9;12;0,8;linear;1;99,792
bsif+mtcd;9x9;12;0,6;linear;1;99,792
bsif+mtcd;9x9;9;-;linear;100;99,792
bsif+mtcd;9x9;9;0,8;linear;100;99,792
bsif+mtcd;9x9;9;0,6;linear;100;99,792
